"Year" "Month" "TMax" "TMin" "PAR" "Prec" "CO2"
1800-2100 1 4.52147942320101 -5.85260681117398 252.044814642513 79.6088013802591 373.776045883941
1800-2100 2 6.21360164917803 -4.18900616289898 327.217854394524 69.5985343178383 376.225424107143
1800-2100 3 9.90753470776201 -1.25341759167299 431.944374905165 59.4619873627617 375.435571236559
1800-2100 4 9.83477149867201 -0.864723732458003 580.795507105314 62.6203612176966 373.100028571429
1800-2100 5 17.98103715534 6.14270866438602 592.430025380205 43.2299224352649 367.864536163522
1800-2100 6 22.754168029295 10.442037674148 628.528616167121 23.6478471218635 364.706124301676
1800-2100 7 24.831473339272 11.643082002976 596.642347850778 4.56370484071463 363.068018867925
1800-2100 8 24.106216922663 11.809568838336 543.909126314633 4.56742398628208 362.768790540541
1800-2100 9 21.414725650487 10.975320557403 446.585829047509 25.2944808703088 364.522421875
1800-2100 10 13.101306285337 3.698175603035 308.263794799315 69.3474504486604 368.891303763441
1800-2100 11 8.50687760191403 -0.223993442400001 289.014446099695 89.8322002810469 376.644359331476
1800-2100 12 5.94156578425003 -3.646286565948 195.390799059329 93.3020364264701 372.913569321534
