"Year" "Month" "TMax" "TMin" "Prec" "PAR" "CO2"
1800-2100 1 9.21946265233348 -0.819107919205963 50.7831899847791 237.301704448033 369.704426856339
1800-2100 2 9.69101081443677 0.0229146825931264 47.4455463261982 308.999228920003 370.99291293253
1800-2100 3 12.5771608579497 1.63716819758926 45.9141411803086 420.270837410322 371.283073086621
1800-2100 4 14.3631684608615 3.3795458908633 43.7244569203363 504.261925800246 368.478365004199
1800-2100 5 19.3207033349972 6.57877095703529 37.7582380229809 564.743281065349 364.450276822149
1800-2100 6 25.28281476318 10.8428769891339 18.9532508742467 623.064551520262 359.342837481955
1800-2100 7 30.3436669693422 14.606053947519 3.35168564599961 622.497387481279 357.944259806104
1800-2100 8 29.5901251416509 14.5107105640222 9.06801478363135 549.895452482716 356.091252106772
1800-2100 9 24.0525457592911 10.9186808324302 26.9727860978833 445.075669885336 358.797616810702
1800-2100 10 18.143824299826 7.25822611292083 47.3228680939328 342.502846226189 364.777506303909
1800-2100 11 12.1451794912051 2.46398227710817 52.5683701597737 245.600162542338 368.306926890774
1800-2100 12 9.82157307463033 0.871543913656715 54.3577335985195 207.342504960457 368.26936430929
