"", "Provincia","Estadillo","Sp","RGR","B_IFN2","B_IFN3","BP","AB3_Mgha_perc","geometry1","geometry2"
"1","Almeria","0795","Pinus sylvestris",43.2012279341387,49.2987663603882,84.690091184118,2.94927706864415,100,c(-2.93272658856649, 37.1365896776101)
"2","Almeria","0796","Quercus ilex",9.45756958672754,4.90163154960271,5.49071758177035,0.0490905026806363,100,c(-2.92190678713724, 37.1363576879324)
"3","Almeria","0797","Pinus pinaster",73.2142918974528,11.7382076559727,28.1638966069127,1.36880741257833,100,c(-2.91047880921959, 37.1363405942291)
"4","Almeria","0798","Quercus ilex",24.0220659677993,46.6617277585678,59.2589640724101,1.04976969282019,100,c(-2.89928730371046, 37.1363045715126)
"5","Almeria","0799","Pinus nigra",114.240115640639,5.99593792647534,23.4448100366466,1.45407267584761,100,c(-2.88829864712922, 37.136150498692)
"6","Almeria","0803","Quercus ilex",19.0816530428807,48.1535284138548,59.866228867791,0.97605837116135,100,c(-2.93328644560066, 37.1272963258907)
"7","Almeria","0805","Pinus pinaster",66.3195222566596,14.1933047103996,31.8682701075427,1.47291378309526,85.2877186790547,c(-2.91071463539723, 37.1272814749975)
"8","Almeria","0806","Quercus ilex",64.1177203461406,2.31106539677579,4.98843020995864,0.223113734431905,100,c(-2.8879964934428, 37.1272621883263)
"9","Almeria","0809","Pinus pinaster",74.0769533568515,2.25648496916811,5.48892112281738,0.269369679470772,100,c(-2.89940075147684, 37.1186457878246)
"10","Almeria","0810","Pinus sylvestris",53.343280777493,41.9120868240598,82.2083490619606,3.3580218531584,100,c(-2.88800987985793, 37.1181758489713)
"11","Almeria","0811","Pinus sylvestris",94.7472833147786,10.35445851114,32.2037833521806,1.82077707008672,100,c(-2.85384605957257, 37.1184902119183)
"12","Almeria","0812","Pinus sylvestris",61.9804807000487,26.505788801774,55.9766808806607,2.45590767324056,100,c(-3.02335432743837, 37.1092302124594)
"13","Almeria","0814","Quercus ilex",11.2739290067723,84.3814497615743,90.5840260939198,0.516881361028793,100,c(-2.85413329833839, 37.1095844886044)
"14","Almeria","0822","Pinus nigra",57.390361770885,74.5322261428245,147.809281791214,6.10642130403242,100,c(-2.9667600252172, 37.0918753715975)
"15","Almeria","0823","Pinus sylvestris",48.3311220117145,62.3943227841346,115.771323966878,4.44808343189529,59.6522235223157,c(-2.9549336933984, 37.0917452670886)
"16","Almeria","0824","Pinus sylvestris",45.7533059758581,27.676587715251,46.3155314010352,1.55324530714869,100,c(-2.94330974002691, 37.0918935231019)
"17","Almeria","0832","Pinus sylvestris",53.5093184869493,38.9275392123138,75.2311426546113,3.02530028685813,100,c(-2.98948021892525, 37.0822162368738)
"18","Almeria","0834","Pinus nigra",85.0081473372509,10.6831137899646,31.5893606587235,1.74218723906324,100,c(-2.96694408623466, 37.0826177405775)
"19","Almeria","0839","Pinus sylvestris",44.5224952445583,61.8230816580701,106.821737331934,3.74988797282198,100,c(-2.89875034256777, 37.0829667442307)
"20","Almeria","0840","Pinus sylvestris",90.8785775039579,17.5630598887785,51.0296609203319,2.78888341929612,100,c(-2.88783627327289, 37.0832363680737)
"21","Almeria","0842","Pinus sylvestris",25.8984200173469,125.708734024984,171.78847818559,3.83997868005047,100,c(-2.86560539487627, 37.0823388736932)
"22","Almeria","0844","Pinus sylvestris",56.4083327760391,10.5067543779473,21.0869262405906,0.881680988553611,100,c(-3.01167725663455, 37.073165759932)
"23","Almeria","0845","Pinus sylvestris",50.3258739168563,16.1382702735963,29.936725512119,1.14987126987689,100,c(-3.00046124202948, 37.0734367633785)
"24","Almeria","0847","Pinus sylvestris",116.112947122419,6.11935032863515,25.6328654764723,1.62612626231976,100,c(-2.97755662799102, 37.0734706982421)
"25","Almeria","0848","Pinus nigra",52.0563679894423,17.5308001603224,33.5412451653059,1.33420375041529,100,c(-2.96722927994632, 37.0735223804764)
"26","Almeria","0856","Pinus sylvestris",51.8221643774136,55.0951964990421,100.561319257376,3.78884356319453,100,c(-2.85413452799754, 37.0737166615486)
"27","Almeria","0859","Pinus sylvestris",61.5094771429787,41.5931184496275,87.9983282533679,3.86710081697836,100,c(-2.9776154521408, 37.0647087860911)
"28","Almeria","0862","Pinus sylvestris",40.3453988571944,58.8613049090887,96.8179930915465,3.16305734853815,100,c(-2.92185696527051, 37.0643155723267)
