LandisData	PnETSpeciesParameters																	
PnETSpeciesParameters	FolN	SLWmax	SLWDel	TOfol	AmaxA	AmaxB	HalfSat	H4		H3		PsnTMin	PsnTOpt	k	  FracFol	FracBelowG
>> 						----	------	------	-----	-----	-----	-------	------	------	-------	-------	----  -------	----------
jcommunis				0.85	200		0		0.50	5.3		21.5	264.5	155		115			3		21	0.5		0.1			0.40
joxycedrus				0.85	200		0		0.66	5.3		21.5	264.5	155		115			3		21	0.5		0.1			0.40
phalepensis				1.19	240		0		0.34	5.3		21.5	282.5	160		118			3		26 	0.5		0.1			0.32
pnigra					1.02	240		0		0.26	5.3		21.5	245		155		115			2		23	0.5		0.1			0.31
ppinaster				1.00	240		0		0.24	5.3		21.5	245		155		115			3		25	0.5		0.1			0.32
psylvestris				1.33	240		0		0.36	5.3		21.5	266.5	150		110			1		20	0.5		0.1			0.30
popnigra				2.50	85		0.2		1.00	-46		71.9	227		145		105			2		31	0.58	0.02		0.31
qfaginea				1.92	110		0.2		1.00	-46		71.9	224.5	155		115			3		26	0.58	0.03		0.36
qilex					1.42	150		0		0.52	5.3		21.5	199		160		118			2		28	0.5		0.08		0.37
qpyrenaica				1.85	80		0.2		1.00	-46		71.9	224.5	150		110			1		22	0.58	0.03		0.34
short					0.70	100		0		0.75	5.3		21.5	170		160		118			2		27	0.5		0.1			0.35
medium					0.75	100		0		0.75	5.3		21.5	175		160		118			2		27	0.5		0.1			0.35		
tall					0.80	100		0		0.75	5.3		21.5	180		160		118			2		27	0.5		0.1			0.35	

>> For each simulation, the lines referring non present species need to be commented
