"","Time","Age.yr.","TopLayer...","LAI.m2.","GrossPsn.gC_m2_mo.","FolResp.gC_m2_mo.","MaintenanceRespiration.gC_mo.","NetPsn.gC_m2_mo.","Transpiration.mm.","WUE.g_mm.","Fol.gDW.","Root.gDW.","Wood.gDW.","NSC.gC.","NSCfrac...","fWater...","water.mm.","PressureHead.mm.","fRad...","fOzone...","DelAMax...","fTemp_psn...","fTemp_resp...","fage...","LeafOn...","FActiveBiom.gDW_gDW.","AdjFolN.gN_gC.","AdjFracFol...","CiModifier...","AdjHalfSat","Limiting.Factor","X","Species"
"1",1890,1,0,0,0,0,0.05369312,0,0,0,0,44,95,6.946306,0.0498951,1,70.71497,3,0.464455,1,0,0.2275101,0.1917611,1,"False",0.9944156,1.19,0,1,282.5,"fTemp",NA,"phalepensis"
"2",1890.08,1,0,0,0,0,0.05646278,0,0,0,0,44,95,6.889843,0.04948954,1,70.71497,3,0.5311204,1,0,0.2554253,0.2016528,1,"False",0.9944156,1.19,0,1,282.5,"fTemp",NA,"phalepensis"
"3",1890.17,1,0,0,0,0,0.06597842,0,0,0,0,44,95,6.823866,0.04901562,1,70.31074,3,0.6068197,1,0,0.4123885,0.2356372,1,"False",0.9944156,1.19,0,1,282.5,"fTemp",NA,"phalepensis"
"4",1890.25,1,0,0,0,0,0.0754199,0,0,0,0,44,95,6.748447,0.04847389,1,69.14848,3.4,0.6426312,1,0,0.5129899,0.2693568,1,"False",0.9944156,1.19,0,1,282.5,"fTemp",NA,"phalepensis"
"5",1890.33,1,0,0.05800758,4.005897,0.4112762,0.1020992,3.59462,0.742635,0.1451785,13.92182,44,95,3.976149,0.02597733,1,64.2065,4.6,0.6599813,1,1.012586,0.7433308,0.3646401,1,"True",0.9944156,1.19,0.1,1,282.5,"fRad",NA,"phalepensis"
"6",1890.42,1,0,0.05800758,5.017251,0.5666088,0.1474956,4.450642,1.453424,0.09184489,13.92182,44,95,8.279297,0.05409104,1,58.36235,7.2,0.6767527,1,1.008232,0.9280863,0.52677,1,"True",0.9944156,1.19,0.1,1,282.5,"fRad",NA,"phalepensis"
"7",1890.5,1,0,0.05800758,5.339629,0.7615619,0.2010585,4.578067,2.141394,0.06412247,13.92182,44,95,12.6563,0.0826873,1,41.39606,39,0.6743081,1,1.007022,0.9961641,0.718066,1,"True",0.9944156,1.19,0.1,1,282.5,"fRad",NA,"phalepensis"
"8",1890.58,1,0,0.05800758,2.809775,0.4315223,0.1919192,2.378253,0.6530442,0.1092295,13.92182,44,95,14.84264,0.09697125,0.6809524,31.87577,131.4,0.6464217,1,1.005407,0.9942275,0.6854256,1,"True",0.9944156,1.19,0.1,0.6809524,282.5,"fRad",NA,"phalepensis"
"9",1890.67,1,0,0.05800758,3.293223,0.4678688,0.1343569,2.825354,0.7799891,0.1086448,13.92182,44,95,17.53364,0.1145523,0.8904762,34.64133,96.4,0.5999702,1,1.007761,0.9103491,0.4798459,1,"True",0.9944156,1.19,0.1,0.8904762,282.5,"fRad",NA,"phalepensis"
"10",1890.75,1,0,0.05800758,2.725416,0.4091879,0.09555481,2.316228,0.4618981,0.1504042,13.92182,44,95,19.75431,0.1290606,1,49.11602,30.2,0.5401672,1,1.012861,0.7295709,0.3412672,1,"True",0.9944156,1.19,0.1,1,282.5,"fRad",NA,"phalepensis"
"11",1890.83,1,0,0.038285,0,0,0.06547689,0,0,0,9.1884,44,95,19.68883,0.132714,1,65.57684,4.4,0.4683639,1,0,0.4211593,0.2338461,1,"False",0.9944156,1.19,0.1,1,282.5,"fTemp",NA,"phalepensis"
"12",1890.92,2,0,0.038285,0,0,0.05793499,0,0,0,9.1884,48,102,6.870423,0.0431681,1,70.71497,3,0.4254349,1,0,0.2955867,0.2069107,1,"False",0.9939809,1.19,0.1,1,282.5,"fTemp",NA,"phalepensis"
"13",1891,2,0,0.038285,0,0,0.0578852,0,0,0,9.1884,48,102,6.812538,0.04280439,1,70.71497,3,0.4564782,1,0,0.2275101,0.1917611,1,"False",0.9939809,1.19,0.1,1,282.5,"fTemp",NA,"phalepensis"
"14",1891.08,2,0,0.038285,0,0,0.06087109,0,0,0,9.1884,48,102,6.751667,0.04242193,1,70.71497,3,0.5231131,1,0,0.2554253,0.2016528,1,"False",0.9939809,1.19,0.1,1,282.5,"fTemp",NA,"phalepensis"
"15",1891.17,2,0,0.038285,0,0,0.07112967,0,0,0,9.1884,48,102,6.680537,0.04197501,1,70.71497,3,0.5991253,1,0,0.4123885,0.2356372,1,"False",0.9939809,1.19,0.1,1,282.5,"fTemp",NA,"phalepensis"
