"","Time","Age.yr.","TopLayer...","LAI.m2.","GrossPsn.gC_m2_mo.","FolResp.gC_m2_mo.","MaintenanceRespiration.gC_mo.","NetPsn.gC_m2_mo.","Transpiration.mm.","WUE.g_mm.","Fol.gDW.","Root.gDW.","Wood.gDW.","NSC.gC.","NSCfrac...","fWater...","water.mm.","PressureHead.mm.","fRad...","fOzone...","DelAMax...","fTemp_psn...","fTemp_resp...","fage...","LeafOn...","FActiveBiom.gDW_gDW.","AdjFolN.gN_gC.","AdjFracFol...","CiModifier...","AdjHalfSat","Limiting.Factor","X","Species"
"1",1890,1,0,0,0,0,0.05369312,0,0,0,0,44,95,6.946306,0.0498951,1,70.57198,3,0.464455,1,0,0.2275101,0.1917611,1,"False",0.9944156,1.19,0,1,282.5,"fTemp",NA,"phalepensis"
"2",1890.08,1,0,0,0,0,0.05646278,0,0,0,0,44,95,6.889843,0.04948954,1,70.71497,3,0.5311204,1,0,0.2554253,0.2016528,1,"False",0.9944156,1.19,0,1,282.5,"fTemp",NA,"phalepensis"
"3",1890.17,1,0,0,0,0,0.06597842,0,0,0,0,44,95,6.823866,0.04901562,1,70.71497,3,0.6068197,1,0,0.4123885,0.2356372,1,"False",0.9944156,1.19,0,1,282.5,"fTemp",NA,"phalepensis"
"4",1890.25,1,0,0,0,0,0.0754199,0,0,0,0,44,95,6.748447,0.04847389,1,67.59894,3.8,0.643312,1,0,0.5129899,0.2693568,1,"False",0.9944156,1.19,0,1,282.5,"fTemp",NA,"phalepensis"
"5",1890.33,1,0,0.05800758,4.04331,0.4112762,0.1020992,3.632034,0.749571,0.1453322,13.92182,44,95,4.013564,0.02622177,1,67.53287,3.6,0.6668506,1,1.012586,0.7433308,0.3646401,1,"True",0.9944156,1.19,0.1,1,282.5,"fRad",NA,"phalepensis"
"6",1890.42,1,0,0.05800758,5.061279,0.5666088,0.1474956,4.49467,1.466179,0.0919466,13.92182,44,95,8.360739,0.05462313,1,57.57267,7.8,0.6834475,1,1.008232,0.9280863,0.52677,1,"True",0.9944156,1.19,0.1,1,282.5,"fRad",NA,"phalepensis"
"7",1890.5,1,0,0.05800758,5.385262,0.7615619,0.2010585,4.6237,2.159695,0.06421287,13.92182,44,95,12.78338,0.08351752,1,38.77951,51.6,0.6810294,1,1.007022,0.9961641,0.718066,1,"True",0.9944156,1.19,0.1,1,282.5,"fRad",NA,"phalepensis"
"8",1890.58,1,0,0.05800758,2.288851,0.3494531,0.1919192,1.939397,0.7999191,0.0727186,13.92182,44,95,14.53086,0.09493431,0.5,31.89256,134.2,0.6534196,1,1.005407,0.9942275,0.6854256,1,"True",0.9944156,1.19,0.1,0.5,282.5,"Too dry",NA,"phalepensis"
"9",1890.67,1,0,0.05800758,3.851434,0.5398899,0.1343569,3.311545,0.9864745,0.1006861,13.92182,44,95,17.70805,0.1156918,0.9904762,36.82356,70.8,0.6073233,1,1.007761,0.9103491,0.4798459,1,"True",0.9944156,1.19,0.1,0.9904762,282.5,"fRad",NA,"phalepensis"
"10",1890.75,1,0,0.05800758,2.721452,0.4038245,0.09555481,2.317627,0.444481,0.1563922,13.92182,44,95,19.93011,0.1302092,0.9904762,46.10864,43.8,0.5477833,1,1.012861,0.7295709,0.3412672,1,"True",0.9944156,1.19,0.1,0.9904762,282.5,"fRad",NA,"phalepensis"
"11",1890.83,1,0,0.038285,0,0,0.06547689,0,0,0,9.1884,44,95,19.86464,0.1338991,1,67.48927,3.8,0.4717931,1,0,0.4211593,0.2338461,1,"False",0.9944156,1.19,0.1,1,282.5,"fTemp",NA,"phalepensis"
"12",1890.92,2,0,0.038285,0,0,0.05793499,0,0,0,9.1884,48,102,6.870423,0.04312105,1,70.71497,3,0.4288025,1,0,0.2955867,0.2069107,1,"False",0.993974,1.19,0.1,1,282.5,"fTemp",NA,"phalepensis"
"13",1891,2,0,0.038285,0,0,0.05795262,0,0,0,9.1884,48,102,6.812471,0.04275733,1,70.71497,3,0.4598955,1,0,0.2275101,0.1917611,1,"False",0.993974,1.19,0.1,1,282.5,"fTemp",NA,"phalepensis"
"14",1891.08,2,0,0.038285,0,0,0.060942,0,0,0,9.1884,48,102,6.751529,0.04237483,1,70.71497,3,0.5265474,1,0,0.2554253,0.2016528,1,"False",0.993974,1.19,0.1,1,282.5,"fTemp",NA,"phalepensis"
"15",1891.17,2,0,0.038285,0,0,0.07121252,0,0,0,9.1884,48,102,6.680315,0.04192788,1,70.71497,3,0.6024299,1,0,0.4123885,0.2356372,1,"False",0.993974,1.19,0.1,1,282.5,"fTemp",NA,"phalepensis"
"16",1891.25,2,0,0.038285,0,0,0.08140299,0,0,0,9.1884,48,102,6.598912,0.04141696,1,69.00352,3.4,0.6410444,1,0,0.5129899,0.2693568,1,"False",0.993974,1.19,0.1,1,282.5,"fTemp",NA,"phalepensis"
"17",1891.33,2,0,0.06258155,4.35807,0.4437058,0.1101988,3.914364,0.8079229,0.1453169,15.01957,48,102,7.77905,0.04711013,1,67.1433,3.8,0.6661596,1,1.012586,0.7433308,0.3646401,1,"True",0.993974,1.19,0.1,1,282.5,"fRad",NA,"phalepensis"
"18",1891.42,2,0,0.06258155,5.45559,0.6112866,0.1591965,4.844304,1.580405,0.09193645,15.01957,48,102,12.46416,0.07548327,1,57.27543,7.6,0.6827742,1,1.008232,0.9280863,0.52677,1,"True",0.993974,1.19,0.1,1,282.5,"fRad",NA,"phalepensis"
"19",1891.5,2,0,0.06258155,5.804945,0.821612,0.2170086,4.983333,2.328004,0.06420384,15.01957,48,102,17.23048,0.1043483,1,39.15509,50.2,0.6803534,1,1.007022,0.9961641,0.718066,1,"True",0.993974,1.19,0.1,1,282.5,"fRad",NA,"phalepensis"
"20",1891.58,2,0,0.06258155,4.315673,0.6566396,0.2071442,3.659034,1.298537,0.08451559,15.01957,48,102,20.68237,0.125253,0.8619047,31.99552,123.8,0.6527155,1,1.005407,0.9942275,0.6854256,1,"True",0.993974,1.19,0.1,0.8619047,282.5,"fRad",NA,"phalepensis"
"21",1891.67,2,0,0.06258155,4.150711,0.5824609,0.1450155,3.56825,1.063086,0.1006727,15.01957,48,102,24.1056,0.1459842,0.9904762,36.69949,73.8,0.6065829,1,1.007761,0.9103491,0.4798459,1,"True",0.993974,1.19,0.1,0.9904762,282.5,"fRad",NA,"phalepensis"
"22",1891.75,2,0,0.06258155,2.972002,0.4414529,0.1031352,2.530549,0.5036889,0.1506874,15.01957,48,102,26.53301,0.1606846,1,46.95273,32.6,0.5470158,1,1.012861,0.7295709,0.3412672,1,"True",0.993974,1.19,0.1,1,282.5,"fRad",NA,"phalepensis"
"23",1891.83,2,0,0.04130382,0,0,0.07067122,0,0,0,9.912917,48,102,26.46235,0.1653391,1,65.62154,4.4,0.4713823,1,0,0.4211593,0.2338461,1,"False",0.993974,1.19,0.1,1,282.5,"fTemp",NA,"phalepensis"
"24",1891.92,3,0,0.04130382,0,0,0.06253101,0,0,0,9.912917,53,114,7.41197,0.04191487,1,70.71497,3,0.428399,1,0,0.2955867,0.2069107,1,"False",0.993298,1.19,0.1,1,282.5,"fTemp",NA,"phalepensis"
"25",1892,3,0,0.04130382,0,0,0.06447551,0,0,0,9.912917,53,114,7.347495,0.04155026,1,70.71497,3,0.459486,1,0,0.2275101,0.1917611,1,"False",0.993298,1.19,0.1,1,282.5,"fTemp",NA,"phalepensis"
"26",1892.08,3,0,0.04130382,0,0,0.06780136,0,0,0,9.912917,53,114,7.279693,0.04116684,1,70.71497,3,0.526136,1,0,0.2554253,0.2016528,1,"False",0.993298,1.19,0.1,1,282.5,"fTemp",NA,"phalepensis"
"27",1892.17,3,0,0.04130382,0,0,0.07929272,0,0,0,9.912917,53,114,7.2004,0.04071844,1,70.71497,3,0.602034,1,0,0.4123885,0.23583,1,"False",0.993298,1.19,0.1,1,282.5,"fTemp",NA,"phalepensis"
"28",1892.25,3,0,0.04130382,0,0,0.09063348,0,0,0,9.912917,53,114,7.109767,0.04020591,1,68.42714,3.4,0.6402324,1,0,0.5129899,0.2695594,1,"False",0.993298,1.19,0.1,1,282.5,"fTemp",NA,"phalepensis"
"29",1892.33,3,0,0.06957809,4.847652,0.4933116,0.1226782,4.354341,0.8986843,0.1453249,16.69874,53,114,8.287808,0.0451469,1,65.80833,4,0.6651954,1,1.012586,0.7433308,0.3648658,1,"True",0.993298,1.19,0.1,1,282.5,"fRad",NA,"phalepensis"
"30",1892.42,3,0,0.06957809,6.060232,0.6796277,0.1771406,5.380604,1.755561,0.09192634,16.69874,53,114,13.49127,0.07349218,1,57.4236,8,0.6818346,1,1.008232,0.9280863,0.5268462,1,"True",0.993298,1.19,0.1,1,282.5,"fRad",NA,"phalepensis"
"31",1892.5,3,0,0.06957809,6.438917,0.9134673,0.2413097,5.52545,2.582251,0.06417915,16.69874,53,114,18.77541,0.1022769,1,39.70376,46.8,0.6794101,1,1.007022,0.9961641,0.7176962,1,"True",0.993298,1.19,0.1,1,282.5,"fRad",NA,"phalepensis"
"32",1892.58,3,0,0.06957809,3.383772,0.5175961,0.2302409,2.866176,0.7858317,0.1093951,16.69874,53,114,21.41134,0.1166359,0.6809524,31.78951,131.4,0.6517333,1,1.005407,0.9942275,0.6847756,1,"True",0.993298,1.19,0.1,0.6809524,282.5,"fRad",NA,"phalepensis"
"33",1892.67,3,0,0.06957809,3.713032,0.5249739,0.1611792,3.188058,0.9867845,0.0969011,16.69874,53,114,24.43822,0.1331245,0.8,36.34492,80.4,0.6055506,1,1.007761,0.9103491,0.4793745,1,"True",0.993298,1.19,0.1,0.8,282.5,"fRad",NA,"phalepensis"
"34",1892.75,3,0,0.06957809,3.289053,0.4908068,0.1146473,2.798246,0.5574222,0.1505658,16.69874,53,114,27.12182,0.147743,1,48.18382,27.2,0.5459464,1,1.012861,0.7295709,0.3409807,1,"True",0.993298,1.19,0.1,1,282.5,"fRad",NA,"phalepensis"
"35",1892.83,3,0,0.04592154,0,0,0.07857986,0,0,0,11.02117,53,114,27.04324,0.151984,1,66.20216,4.4,0.4708045,1,0,0.4211593,0.2337099,1,"False",0.993298,1.19,0.1,1,282.5,"fTemp",NA,"phalepensis"
"36",1892.92,4,0,0.04592154,0,0,0.06956029,0,0,0,11.02117,59,125,8.240833,0.04242859,1,70.71497,3,0.4278316,1,0,0.2955867,0.2068841,1,"False",0.9926413,1.19,0.1,1,282.5,"fTemp",NA,"phalepensis"
"37",1893,4,0,0.04592154,0,0,0.07081622,0,0,0,11.02117,59,125,8.170018,0.042064,1,70.71497,3,0.4589103,1,0,0.2275101,0.1917611,1,"False",0.9926413,1.19,0.1,1,282.5,"fTemp",NA,"phalepensis"
"38",1893.08,4,0,0.04592154,0,0,0.07446915,0,0,0,11.02117,59,125,8.095551,0.04168059,1,70.71497,3,0.5255572,1,0,0.2554253,0.2016528,1,"False",0.9926413,1.19,0.1,1,282.5,"fTemp",NA,"phalepensis"
"39",1893.17,4,0,0.04592154,0,0,0.0870194,0,0,0,11.02117,59,125,8.008533,0.04123257,1,70.71497,3,0.6014769,1,0,0.4123885,0.2356372,1,"False",0.9926413,1.19,0.1,1,282.5,"fTemp",NA,"phalepensis"
"40",1893.25,4,0,0.04592154,0,0,0.09947182,0,0,0,11.02117,59,125,7.90906,0.04072043,1,69.27102,3.2,0.639301,1,0,0.5129899,0.2693568,1,"False",0.9926413,1.19,0.1,1,282.5,"fTemp",NA,"phalepensis"
"41",1893.33,4,0,0.0763701,5.304199,0.5414672,0.1346594,4.762732,0.9833214,0.1452731,18.32882,59,125,9.248688,0.04590326,1,67.67349,3.8,0.6641958,1,1.012586,0.7433308,0.3646401,1,"True",0.9926413,1.19,0.1,1,282.5,"fRad",NA,"phalepensis"
"42",1893.42,4,0,0.0763701,6.641045,0.745971,0.194533,5.895074,1.923814,0.0919075,18.32882,59,125,14.94923,0.07419627,1,58.44582,7,0.6808602,1,1.008232,0.9280863,0.52677,1,"True",0.9926413,1.19,0.1,1,282.5,"fRad",NA,"phalepensis"
"43",1893.5,4,0,0.0763701,7.066769,1.002637,0.2651774,6.064131,2.834043,0.06417811,18.32882,59,125,20.74818,0.1029778,1,40.27178,43.6,0.6784319,1,1.007022,0.9961641,0.718066,1,"True",0.9926413,1.19,0.1,1,282.5,"fRad",NA,"phalepensis"
"44",1893.58,4,0,0.0763701,3.715683,0.5681223,0.2531235,3.14756,0.8625751,0.1094465,18.32882,59,125,23.64262,0.1173435,0.6809524,31.92132,131.4,0.6507151,1,1.005407,0.9942275,0.6854256,1,"True",0.9926413,1.19,0.1,0.6809524,282.5,"fRad",NA,"phalepensis"
"45",1893.67,4,0,0.0763701,5.049942,0.7107941,0.1772042,4.339148,1.293251,0.1006344,18.32882,59,125,27.80456,0.1380001,0.9904762,37.72476,65.2,0.6044812,1,1.007761,0.9103491,0.4798459,1,"True",0.9926413,1.19,0.1,0.9904762,282.5,"fRad",NA,"phalepensis"
"46",1893.75,4,0,0.0763701,3.614532,0.5387179,0.1260279,3.075815,0.6125838,0.1505981,18.32882,59,125,30.75435,0.1526406,1,48.23719,24.6,0.5448392,1,1.012861,0.7295709,0.3412672,1,"True",0.9926413,1.19,0.1,1,282.5,"fRad",NA,"phalepensis"
"47",1893.83,4,0,0.05040427,0,0,0.08635794,0,0,0,12.09702,59,125,30.66799,0.1570332,1,68.62781,3.6,0.4702107,1,0,0.4211593,0.2338461,1,"False",0.9926413,1.19,0.1,1,282.5,"fTemp",NA,"phalepensis"
"48",1893.92,5,0,0.05040427,0,0,0.07641086,0,0,0,12.09702,65,138,9.044683,0.04224343,1,70.71497,3,0.4272489,1,0,0.2955867,0.2069107,0.9999999,"False",0.9918826,1.19,0.1,1,282.5,"fTemp",NA,"phalepensis"
"49",1894,5,0,0.05040427,0,0,0.07814799,0,0,0,12.09702,65,138,8.966535,0.04187843,1,70.71497,3,0.4583187,1,0,0.2275101,0.1917611,0.9999999,"False",0.9918826,1.19,0.1,1,282.5,"fTemp",NA,"phalepensis"
"50",1894.08,5,0,0.05040427,0,0,0.08217911,0,0,0,12.09702,65,138,8.884356,0.04149462,1,70.71497,3,0.5249623,1,0,0.2554253,0.2016528,0.9999999,"False",0.9918826,1.19,0.1,1,282.5,"fTemp",NA,"phalepensis"
"51",1894.17,5,0,0.05040427,0,0,0.09602871,0,0,0,12.09702,65,138,8.788326,0.04104611,1,70.51487,3,0.600904,1,0,0.4123885,0.2356372,0.9999999,"False",0.9918826,1.19,0.1,1,282.5,"fTemp",NA,"phalepensis"
