"","Time","Age.yr.","TopLayer...","LAI.m2.","GrossPsn.gC_m2_mo.","FolResp.gC_m2_mo.","MaintenanceRespiration.gC_mo.","NetPsn.gC_m2_mo.","Transpiration.mm.","WUE.g_mm.","Fol.gDW.","Root.gDW.","Wood.gDW.","NSC.gC.","NSCfrac...","fWater...","water.mm.","PressureHead.mm.","fRad...","fOzone...","DelAMax...","fTemp_psn...","fTemp_resp...","fage...","LeafOn...","FActiveBiom.gDW_gDW.","AdjFolN.gN_gC.","AdjFracFol...","CiModifier...","AdjHalfSat","Limiting.Factor","X","Species"
"1",1890,1,0,0,0,0,0.06610397,0,0,0,0,43,96,6.933896,0.04980597,1,70.57198,3,0.5,1,0,0.3279886,0.2360856,1,"False",0.9944156,1.02,0,1,245,"fTemp",NA,"pnigra"
"2",1890.08,1,0,0,0,0,0.06951383,0,0,0,0,43,96,6.864383,0.04930665,1,70.71497,3,0.5663717,1,0,0.3564591,0.2482637,1,"False",0.9944156,1.02,0,1,245,"fTemp",NA,"pnigra"
"3",1890.17,1,0,0,0,0,0.08122898,0,0,0,0,43,96,6.783154,0.04872319,1,70.68262,3,0.6317381,1,0,0.5145999,0.2901034,1,"False",0.9944156,1.02,0,1,245,"fTemp",NA,"pnigra"
"4",1890.25,1,0,0.05800758,2.757738,0.3190621,0.09285278,2.438676,0.3707249,0.1973,13.92182,43,96,2.864158,0.01871238,1,69.55333,3.2,0.6695432,1,1.015949,0.6137789,0.331617,1,"True",0.9944156,1.02,0.1,1,245,"fTemp",NA,"pnigra"
"5",1890.33,1,0,0.05800758,4.204905,0.456445,0.1256989,3.74846,0.8288534,0.1356438,13.92182,43,96,6.486919,0.04238092,1,67.76749,3.6,0.6946535,1,1.012586,0.830241,0.4489245,1,"True",0.9944156,1.02,0.1,1,245,"fRad",NA,"pnigra"
"6",1890.42,1,0,0.05800758,4.992364,0.627932,0.1815884,4.364432,1.537725,0.08512827,13.92182,43,96,10.66976,0.06970865,1,58.20626,7,0.7104663,1,1.008232,0.9772443,0.6485299,1,"True",0.9944156,1.02,0.1,1,245,"fRad",NA,"pnigra"
"7",1890.5,1,0,0.05800758,5.100907,0.8433204,0.247532,4.257587,2.175098,0.05870963,13.92182,43,96,14.67982,0.0959075,1,40.24887,45,0.7081665,1,1.007022,0.9943714,0.8840429,1,"True",0.9944156,1.02,0.1,1,245,"fRad",NA,"pnigra"
"8",1890.58,1,0,0.05800758,3.104733,0.5479197,0.2362802,2.556813,0.7676969,0.09989274,13.92182,43,96,17.00035,0.1110682,0.7,32.15164,128.4,0.6818088,1,1.005407,0.9964426,0.8438579,1,"True",0.9944156,1.02,0.1,0.7,245,"fRad",NA,"pnigra"
"9",1890.67,1,0,0.05800758,3.30813,0.5127593,0.1654127,2.79537,0.8896895,0.09423789,13.92182,43,96,19.6303,0.1282505,0.88,36.60347,75.4,0.6373941,1,1.007761,0.9657468,0.5907596,1,"True",0.9944156,1.02,0.1,0.88,245,"fRad",NA,"pnigra"
"10",1890.75,1,0,0.05800758,2.924221,0.4541366,0.1176418,2.470084,0.5269501,0.1405941,13.92182,43,96,21.98274,0.1436196,1,49.43353,19.8,0.5792567,1,1.012861,0.8179295,0.4201492,1,"True",0.9944156,1.02,0.1,1,245,"fRad",NA,"pnigra"
