"","Time","Age.yr.","TopLayer...","LAI.m2.","GrossPsn.gC_m2_mo.","FolResp.gC_m2_mo.","MaintenanceRespiration.gC_mo.","NetPsn.gC_m2_mo.","Transpiration.mm.","WUE.g_mm.","Fol.gDW.","Root.gDW.","Wood.gDW.","NSC.gC.","NSCfrac...","fWater...","water.mm.","PressureHead.mm.","fRad...","fOzone...","DelAMax...","fTemp_psn...","fTemp_resp...","fage...","LeafOn...","FActiveBiom.gDW_gDW.","AdjFolN.gN_gC.","AdjFracFol...","CiModifier...","AdjHalfSat","Limiting.Factor","X","Species"
"1",1890,1,0,0,0,0,0.06610397,0,0,0,0,43,96,6.933896,0.04980597,1,70.57198,3,0.5,1,0,0.3279886,0.2360856,1,"False",0.9944156,1.02,0,1,245,"fTemp",NA,"pnigra"
"2",1890.08,1,0,0,0,0,0.06951383,0,0,0,0,43,96,6.864383,0.04930665,1,70.71497,3,0.5663717,1,0,0.3564591,0.2482637,1,"False",0.9944156,1.02,0,1,245,"fTemp",NA,"pnigra"
"3",1890.17,1,0,0,0,0,0.08122898,0,0,0,0,43,96,6.783154,0.04872319,1,70.68793,3,0.6362131,1,0,0.5145999,0.2901034,1,"False",0.9944156,1.02,0,1,245,"fTemp",NA,"pnigra"
"4",1890.25,1,0,0.05800758,2.773244,0.3190621,0.09285278,2.454182,0.3728094,0.1974443,13.92182,43,96,2.879665,0.01881368,1,68.20229,3.2,0.6738005,1,1.015949,0.6137789,0.331617,1,"True",0.9944156,1.02,0.1,1,245,"fTemp",NA,"pnigra"
"5",1890.33,1,0,0.05800758,4.226925,0.456445,0.1256989,3.77048,0.833194,0.1357298,13.92182,43,96,6.524446,0.04262609,1,68.11062,3.4,0.6987342,1,1.012586,0.830241,0.4489245,1,"True",0.9944156,1.02,0.1,1,245,"fRad",NA,"pnigra"
"6",1890.42,1,0,0.05800758,5.016673,0.627932,0.1815884,4.388741,1.545213,0.08518761,13.92182,43,96,10.7316,0.07011263,1,57.28593,8,0.7144235,1,1.008232,0.9772443,0.6485299,1,"True",0.9944156,1.02,0.1,1,245,"fRad",NA,"pnigra"
"7",1890.5,1,0,0.05800758,5.12481,0.8433204,0.247532,4.281489,2.185291,0.05876387,13.92182,43,96,14.76556,0.09646764,1,38.20382,55.6,0.7121422,1,1.007022,0.9943714,0.8840429,1,"True",0.9944156,1.02,0.1,1,245,"fRad",NA,"pnigra"
"8",1890.58,1,0,0.05800758,2.092643,0.3681812,0.2362802,1.724461,0.8044471,0.06429553,13.92182,43,96,16.25373,0.1061904,0.48,31.92547,134.2,0.6859829,1,1.005407,0.9964426,0.8438579,1,"True",0.9944156,1.02,0.1,0.48,245,"Too dry",NA,"pnigra"
"9",1890.67,1,0,0.05800758,3.808351,0.5856326,0.1654127,3.222718,0.9988308,0.09677321,13.92182,43,96,19.31104,0.1261646,0.975,36.76812,70.8,0.6418421,1,1.007761,0.9657468,0.5907596,1,"True",0.9944156,1.02,0.1,0.975,245,"fRad",NA,"pnigra"
"10",1890.75,1,0,0.05800758,2.842846,0.4386565,0.1176418,2.40419,0.4753963,0.1516833,13.92182,43,96,21.59758,0.1411032,0.975,45.78617,45.8,0.5839486,1,1.012861,0.8179295,0.4201492,1,"True",0.9944156,1.02,0.1,0.975,245,"fRad",NA,"pnigra"
