"","Time","Age.yr.","TopLayer...","LAI.m2.","GrossPsn.gC_m2_mo.","FolResp.gC_m2_mo.","MaintenanceRespiration.gC_mo.","NetPsn.gC_m2_mo.","Transpiration.mm.","WUE.g_mm.","Fol.gDW.","Root.gDW.","Wood.gDW.","NSC.gC.","NSCfrac...","fWater...","water.mm.","PressureHead.mm.","fRad...","fOzone...","DelAMax...","fTemp_psn...","fTemp_resp...","fage...","LeafOn...","FActiveBiom.gDW_gDW.","AdjFolN.gN_gC.","AdjFracFol...","CiModifier...","AdjHalfSat","Limiting.Factor","X","Species"
"1",1890,1,0,0,0,0,0.08138354,0,0,0,0,42,98,6.918616,0.04969621,1,70.57198,3,0.4789834,1,0,0.440258,0.2906555,1,"False",0.9944156,1.33,0,1,266.5,"fTemp",NA,"psylvestris"
"2",1890.08,1,0,0,0,0,0.08558158,0,0,0,0,42,98,6.833033,0.04908147,1,70.71497,3,0.5456095,1,0,0.4689111,0.3056485,1,"False",0.9944156,1.33,0,1,266.5,"fTemp",NA,"psylvestris"
"3",1890.17,1,0,0.05800758,3.089098,0.4525275,0.1000046,2.63657,0.3348666,0.2361524,13.92182,42,98,3.104781,0.02028443,1,70.6847,3,0.6135818,1,1.018256,0.6252731,0.3571592,1,"True",0.9944156,1.33,0.1,1,266.5,"fRad",NA,"psylvestris"
"4",1890.25,1,0,0.05800758,3.946097,0.5009518,0.1143152,3.445146,0.4756001,0.2172653,13.92182,42,98,6.435611,0.04204571,1,68.80301,3.2,0.6548632,1,1.015949,0.7201698,0.4082685,1,"True",0.9944156,1.33,0.1,1,266.5,"fRad",NA,"psylvestris"
"5",1890.33,1,0,0.05800758,5.678298,0.7156979,0.1547535,4.9626,1.003495,0.1483265,13.92182,42,98,11.24346,0.07345677,1,68.15929,3.4,0.6805581,1,1.012586,0.9114974,0.552691,1,"True",0.9944156,1.33,0.1,1,266.5,"fRad",NA,"psylvestris"
"6",1890.42,1,0,0.05800758,6.373418,0.983434,0.2235616,5.389984,1.760031,0.09185272,13.92182,42,98,16.40988,0.1072105,1,57.43296,7.8,0.696783,1,1.008232,0.999922,0.7984341,1,"True",0.9944156,1.33,0.1,1,266.5,"fRad",NA,"psylvestris"
"7",1890.5,1,0,0.05800758,6.187463,1.320239,0.28,4.867224,2.365481,0.06171441,13.92182,42,98,20.9971,0.1371802,1,38.51951,54,0.6944211,1,1.007022,0.9420077,1,1,"True",0.9944156,1.33,0.1,1,266.5,"fRad",NA,"psylvestris"
"8",1890.58,1,0,0.05800758,2.392633,0.542346,0.28,1.850287,0.8681823,0.06392235,13.92182,42,98,22.56739,0.1474393,0.455,31.92348,134.2,0.6674037,1,1.005407,0.9499059,1,1,"True",0.9944156,1.33,0.1,0.455,266.5,"Too dry",NA,"psylvestris"
"9",1890.67,1,0,0.05800758,4.715133,0.884967,0.2036469,3.830165,1.092657,0.1051377,13.92182,42,98,26.19391,0.1711324,0.95,36.97905,69.2,0.6220904,1,1.007761,0.9978225,0.7273104,1,"True",0.9944156,1.33,0.1,0.95,266.5,"fRad",NA,"psylvestris"
"10",1890.75,1,0,0.05800758,3.697724,0.6637153,0.144834,3.034008,0.5462704,0.1665842,13.92182,42,98,29.08308,0.1900082,0.95,45.96981,45.8,0.5631775,1,1.012861,0.901581,0.5172644,1,"True",0.9944156,1.33,0.1,0.95,266.5,"fRad",NA,"psylvestris"
"11",1890.83,1,0,0.05800758,2.191849,0.4491752,0.09924442,1.742674,0.2260834,0.2311918,13.92182,42,98,30.72651,0.2007452,1,67.285,3.8,0.4834754,1,1.015807,0.6337352,0.3544443,1,"True",0.9944156,1.33,0.1,1,266.5,"fRad",NA,"psylvestris"
"12",1890.92,2,0,0.03712485,0,0,0.08781303,0,0,0,8.909964,48,113,6.870918,0.04047562,1,70.71497,3,0.4458336,1,0,0.5097239,0.3136179,1,"False",0.993543,1.33,0.1,1,266.5,"fRad",NA,"psylvestris"
"13",1891,2,0,0.03712485,0,0,0.09414202,0,0,0,8.909964,48,113,6.776776,0.03992104,1,70.71497,3,0.4771309,1,0,0.440258,0.2906555,1,"False",0.993543,1.33,0.1,1,266.5,"fTemp",NA,"psylvestris"
"14",1891.08,2,0,0.03712485,0,0,0.09899818,0,0,0,8.909964,48,113,6.677778,0.03933785,1,70.71497,3,0.5437678,1,0,0.4689111,0.3056485,1,"False",0.993543,1.33,0.1,1,266.5,"fTemp",NA,"psylvestris"
