"","Time","Age.yr.","TopLayer...","LAI.m2.","GrossPsn.gC_m2_mo.","FolResp.gC_m2_mo.","MaintenanceRespiration.gC_mo.","NetPsn.gC_m2_mo.","Transpiration.mm.","WUE.g_mm.","Fol.gDW.","Root.gDW.","Wood.gDW.","NSC.gC.","NSCfrac...","fWater...","water.mm.","PressureHead.mm.","fRad...","fOzone...","DelAMax...","fTemp_psn...","fTemp_resp...","fage...","LeafOn...","FActiveBiom.gDW_gDW.","AdjFolN.gN_gC.","AdjFracFol...","CiModifier...","AdjHalfSat","Limiting.Factor","X","Species"
"1",1890,1,0,0,0,0,0.05009745,0,0,0,0,49,91,6.949903,0.04992095,1,70.57198,3,0.5903614,1,0,0.2798765,0.1789194,1,"False",0.9944156,0.7,0,1,170,"fTemp",NA,"short"
"2",1890.08,1,0,0,0,0,0.05268164,0,0,0,0,49,91,6.897223,0.04954254,1,70.71497,3,0.6530612,1,0,0.3046835,0.1881487,1,"False",0.9944156,0.7,0,1,170,"fTemp",NA,"short"
"3",1890.17,1,0,0,0,0,0.06156005,0,0,0,0,49,91,6.835663,0.04910036,1,70.69928,3,0.7194719,1,0,0.444627,0.2198573,1,"False",0.9944156,0.7,0,1,170,"fTemp",NA,"short"
"4",1890.25,1,0,0.1392182,1.944668,0.1791308,0.07036925,1.765537,0.2967705,0.1784353,13.92182,49,91,2.266012,0.01480451,1,69.12408,3.4,0.7363296,1,1.015949,0.5348321,0.2513188,1,"True",0.9944156,0.7,0.1,1,170,"fTemp",NA,"short"
"5",1890.33,1,0,0.1392182,3.026499,0.2568665,0.09526193,2.769633,0.6772341,0.1226615,13.92182,49,91,4.940383,0.03227695,1,68.20903,3.4,0.758182,1,1.012586,0.7438676,0.3402212,1,"True",0.9944156,0.7,0.1,1,170,"fTemp",NA,"short"
"6",1890.42,1,0,0.1392182,3.718949,0.3541846,0.1376183,3.364764,1.300377,0.07760864,13.92182,49,91,8.16753,0.05336084,1,61.71631,5.4,0.7717763,1,1.008232,0.917795,0.4914938,1,"True",0.9944156,0.7,0.1,1,170,"fRad",NA,"short"
"7",1890.5,1,0,0.1392182,3.96053,0.4762605,0.1875942,3.484269,1.917173,0.05450987,13.92182,49,91,11.46421,0.07489897,1,48.72822,17.8,0.7698071,1,1.007022,0.9905949,0.6699792,1,"True",0.9944156,0.7,0.1,1,170,"fRad",NA,"short"
"8",1890.58,1,0,0.1392182,3.644271,0.4668294,0.1790669,3.177441,1.748183,0.05451493,13.92182,49,91,14.46258,0.09448823,1,36.10986,73,0.7470448,1,1.005407,0.9879223,0.6395247,1,"True",0.9944156,0.7,0.1,1,170,"fRad",NA,"short"
"9",1890.67,1,0,0.1392182,2.93606,0.3419737,0.1253594,2.594087,0.9418487,0.08260914,13.92182,49,91,16.93131,0.1106171,1,36.67618,72.8,0.7078661,1,1.007761,0.9004823,0.4477121,1,"True",0.9944156,0.7,0.1,1,170,"fRad",NA,"short"
"10",1890.75,1,0,0.1392182,2.142085,0.2555561,0.0891558,1.886529,0.4382002,0.1291266,13.92182,49,91,18.72868,0.1223599,1,49.30415,20.4,0.6549575,1,1.012861,0.7312348,0.3184136,1,"True",0.9944156,0.7,0.1,1,170,"fRad",NA,"short"
"11",1890.83,1,0,0.03480455,0,0,0.06109211,0,0,0,3.480454,49,91,18.66758,0.130836,1,69.57076,3.2,0.5963498,1,0,0.4524731,0.2181861,1,"False",0.9944156,0.7,0.1,1,170,"fTemp",NA,"short"
"12",1890.92,2,0,0.03480455,0,0,0.05405526,0,0,0,3.480454,52,97,6.867456,0.04505609,1,70.71497,3,0.5539129,1,0,0.3404126,0.1930545,0.9999999,"False",0.9940237,0.7,0.1,1,170,"fTemp",NA,"short"
"13",1891,2,0,0.03480455,0,0,0.05362434,0,0,0,3.480454,52,97,6.813831,0.04470427,1,70.71497,3,0.584789,1,0,0.2798765,0.1789194,0.9999999,"False",0.9940237,0.7,0.1,1,170,"fTemp",NA,"short"
"14",1891.08,2,0,0.03480455,0,0,0.05639046,0,0,0,3.480454,52,97,6.757441,0.0443343,1,70.71497,3,0.6478288,1,0,0.3046835,0.1881487,0.9999999,"False",0.9940237,0.7,0.1,1,170,"fTemp",NA,"short"
"15",1891.17,2,0,0.03480455,0,0,0.06589391,0,0,0,3.480454,52,97,6.691546,0.04390198,1,70.71497,3,0.7147997,1,0,0.444627,0.2198573,0.9999999,"False",0.9940237,0.7,0.1,1,170,"fTemp",NA,"short"
"16",1891.25,2,0,0.1489605,2.077183,0.1916662,0.07532329,1.885517,0.3169934,0.1784042,14.89605,52,97,3.364722,0.02054572,1,69.02819,3.4,0.7349381,1,1.015949,0.5348321,0.2513188,0.9999999,"True",0.9940237,0.7,0.1,1,170,"fTemp",NA,"short"
"17",1891.33,2,0,0.1489605,3.233141,0.2748417,0.1019684,2.958299,0.7234739,0.1226433,14.89605,52,97,6.221052,0.03798709,1,67.72935,3.6,0.7568647,1,1.012586,0.7438676,0.3402212,0.9999999,"True",0.9940237,0.7,0.1,1,170,"fTemp",NA,"short"
"18",1891.42,2,0,0.1489605,3.973283,0.37897,0.1473067,3.594313,1.389308,0.07759648,14.89605,52,97,9.668059,0.05903526,1,61.86807,5,0.7705089,1,1.008232,0.917795,0.4914938,0.9999999,"True",0.9940237,0.7,0.1,1,170,"fRad",NA,"short"
"19",1891.5,2,0,0.1489605,4.231508,0.5095885,0.2008009,3.72192,2.048345,0.054499,14.89605,52,97,13.18918,0.08053597,1,50.21251,15.2,0.7685323,1,1.007022,0.9905949,0.6699792,0.9999999,"True",0.9940237,0.7,0.1,1,170,"fRad",NA,"short"
"20",1891.58,2,0,0.1489605,3.893121,0.4994975,0.1916733,3.393623,1.867558,0.05450223,14.89605,52,97,16.39113,0.1000878,1,37.61735,61.4,0.7456889,1,1.005407,0.9879223,0.6395247,0.9999999,"True",0.9940237,0.7,0.1,1,170,"fRad",NA,"short"
"21",1891.67,2,0,0.1489605,3.135729,0.3659045,0.1341848,2.769825,1.0059,0.08258902,14.89605,52,97,19.02677,0.1161816,1,37.57818,63.6,0.7063887,1,1.007761,0.9004823,0.4477121,0.9999999,"True",0.9940237,0.7,0.1,1,170,"fRad",NA,"short"
"22",1891.75,2,0,0.1489605,2.287039,0.2734396,0.09543242,2.013599,0.467853,0.1290887,14.89605,52,97,20.94493,0.1278943,1,47.29957,27.8,0.6533527,1,1.012861,0.7312348,0.3184136,0.9999999,"True",0.9940237,0.7,0.1,1,170,"fRad",NA,"short"
"23",1891.83,2,0,0.03724012,0,0,0.06539302,0,0,0,3.724012,52,97,20.87954,0.1367695,1,69.09985,3.4,0.595928,1,0,0.4524731,0.2181861,0.9999999,"False",0.9940237,0.7,0.1,1,170,"fTemp",NA,"short"
"24",1891.92,3,0,0.03724012,0,0,0.05786078,0,0,0,3.724012,56,104,7.348717,0.0448143,1,70.71497,3,0.5534805,1,0,0.3404126,0.1930545,0.9999992,"False",0.993568,0.7,0.1,1,170,"fTemp",NA,"short"
"25",1892,3,0,0.03724012,0,0,0.05772623,0,0,0,3.724012,56,104,7.290991,0.04446227,1,70.71497,3,0.5843637,1,0,0.2798765,0.1789194,0.9999992,"False",0.993568,0.7,0.1,1,170,"fTemp",NA,"short"
"26",1892.08,3,0,0.03724012,0,0,0.06070394,0,0,0,3.724012,56,104,7.230287,0.04409209,1,70.71497,3,0.6474285,1,0,0.3046835,0.1881487,0.9999992,"False",0.993568,0.7,0.1,1,170,"fTemp",NA,"short"
"27",1892.17,3,0,0.03724012,0,0,0.07099237,0,0,0,3.724012,56,104,7.159296,0.04365917,1,70.54124,3,0.7144414,1,0,0.444627,0.2200372,0.9999992,"False",0.993568,0.7,0.1,1,170,"fTemp",NA,"short"
"28",1892.25,3,0,0.1602814,2.236465,0.2062327,0.08114599,2.030233,0.341301,0.1784157,16.02814,56,104,3.571523,0.02026896,1,69.21645,3.2,0.7333221,1,1.015949,0.5348321,0.2515078,0.9999992,"True",0.993568,0.7,0.1,1,170,"fTemp",NA,"short"
"29",1892.33,3,0,0.1602814,3.478746,0.2957296,0.1098363,3.183016,0.7784324,0.122643,16.02814,56,104,6.644702,0.03770975,1,68.54624,3.2,0.7553341,1,1.012586,0.7438676,0.3404318,0.9999992,"True",0.993568,0.7,0.1,1,170,"fTemp",NA,"short"
"30",1892.42,3,0,0.1602814,4.26938,0.4077716,0.1585975,3.861608,1.492842,0.07758522,16.02814,56,104,10.34771,0.05872492,1,62.35886,5,0.7690357,1,1.008232,0.917795,0.4915648,0.9999992,"True",0.993568,0.7,0.1,1,170,"fRad",NA,"short"
"31",1892.5,3,0,0.1602814,4.54008,0.5483171,0.2160495,3.991763,2.197716,0.0544776,16.02814,56,104,14.12343,0.0801527,1,51.23974,14,0.7670505,1,1.007022,0.9905949,0.6696342,0.9999992,"True",0.993568,0.7,0.1,1,170,"fRad",NA,"short"
"32",1892.58,3,0,0.1602814,4.172081,0.5374592,0.2061394,3.634622,2.001377,0.05446971,16.02814,56,104,17.55191,0.09960988,1,39.96845,44.4,0.7441136,1,1.005407,0.9879223,0.6389183,0.9999992,"True",0.993568,0.7,0.1,1,170,"fRad",NA,"short"
"33",1892.67,3,0,0.1602814,3.357393,0.3937132,0.1443071,2.963679,1.077006,0.08253492,16.02814,56,104,20.37128,0.1156102,1,38.90213,52.2,0.7046742,1,1.007761,0.9004823,0.4472722,0.9999992,"True",0.993568,0.7,0.1,1,170,"fRad",NA,"short"
